x	y	label	showSelected1	showSelected2	group
90.465327	-2.17143084780323	9 segments	4.5	9	4
90.465327	-2.17143084780323	10 segments	4.5	10	4
90.465327	-2.17143084780323	11 segments	4.5	11	4
90.465327	-2.17143084780323	12 segments	4.5	12	4
90.465327	-2.17143084780323	13 segments	4.5	13	4
90.465327	-2.17143084780323	14 segments	4.5	14	4
90.465327	-2.17143084780323	15 segments	4.5	15	4
90.465327	-2.17143084780323	16 segments	4.5	16	4
90.465327	-2.17143084780323	17 segments	4.5	17	4
90.465327	-2.17143084780323	18 segments	4.5	18	4
90.465327	-2.17143084780323	19 segments	4.5	19	4
90.465327	-2.17143084780323	20 segments	4.5	20	4
79.4764105	-2.17143084780323	1 segment	1.7	1	5
79.4764105	-2.17143084780323	2 segments	1.7	2	5
79.4764105	-2.17143084780323	3 segments	1.7	3	5
79.4764105	-2.17143084780323	4 segments	1.7	4	5
79.4764105	-2.17143084780323	5 segments	1.7	5	5
79.4764105	-2.17143084780323	6 segments	1.7	6	5
79.4764105	-2.17143084780323	7 segments	1.7	7	5
79.4764105	-2.17143084780323	8 segments	1.7	8	5
79.4764105	-2.17143084780323	9 segments	1.7	9	5
79.4764105	-2.17143084780323	10 segments	1.7	10	5
79.4764105	-2.17143084780323	11 segments	1.7	11	5
79.4764105	-2.17143084780323	12 segments	1.7	12	5
79.4764105	-2.17143084780323	13 segments	1.7	13	5
79.4764105	-2.17143084780323	14 segments	1.7	14	5
79.4764105	-2.17143084780323	15 segments	1.7	15	5
79.4764105	-2.17143084780323	16 segments	1.7	16	5
79.4764105	-2.17143084780323	17 segments	1.7	17	5
79.4764105	-2.17143084780323	18 segments	1.7	18	5
79.4764105	-2.17143084780323	19 segments	1.7	19	5
79.4764105	-2.17143084780323	20 segments	1.7	20	5
73.10409	-2.17143084780323	1 segment	11.8	1	6
73.10409	-2.17143084780323	2 segments	11.8	2	6
73.10409	-2.17143084780323	3 segments	11.8	3	6
73.10409	-2.17143084780323	4 segments	11.8	4	6
73.10409	-2.17143084780323	5 segments	11.8	5	6
73.10409	-2.17143084780323	6 segments	11.8	6	6
73.10409	-2.17143084780323	7 segments	11.8	7	6
73.10409	-2.17143084780323	8 segments	11.8	8	6
73.10409	-2.17143084780323	9 segments	11.8	9	6
73.10409	-2.17143084780323	10 segments	11.8	10	6
73.10409	-2.17143084780323	11 segments	11.8	11	6
73.10409	-2.17143084780323	12 segments	11.8	12	6
73.10409	-2.17143084780323	13 segments	11.8	13	6
73.10409	-2.17143084780323	14 segments	11.8	14	6
73.10409	-2.17143084780323	15 segments	11.8	15	6
73.10409	-2.17143084780323	16 segments	11.8	16	6
73.10409	-2.17143084780323	17 segments	11.8	17	6
73.10409	-2.17143084780323	18 segments	11.8	18	6
73.10409	-2.17143084780323	19 segments	11.8	19	6
73.10409	-2.17143084780323	20 segments	11.8	20	6
69.225247	-2.17143084780323	1 segment	10.9	1	7
69.225247	-2.17143084780323	2 segments	10.9	2	7
69.225247	-2.17143084780323	3 segments	10.9	3	7
69.225247	-2.17143084780323	4 segments	10.9	4	7
69.225247	-2.17143084780323	5 segments	10.9	5	7
69.225247	-2.17143084780323	6 segments	10.9	6	7
69.225247	-2.17143084780323	7 segments	10.9	7	7
69.225247	-2.17143084780323	8 segments	10.9	8	7
69.225247	-2.17143084780323	9 segments	10.9	9	7
69.225247	-2.17143084780323	10 segments	10.9	10	7
69.225247	-2.17143084780323	11 segments	10.9	11	7
69.225247	-2.17143084780323	12 segments	10.9	12	7
69.225247	-2.17143084780323	13 segments	10.9	13	7
69.225247	-2.17143084780323	14 segments	10.9	14	7
69.225247	-2.17143084780323	15 segments	10.9	15	7
69.225247	-2.17143084780323	16 segments	10.9	16	7
69.225247	-2.17143084780323	17 segments	10.9	17	7
69.225247	-2.17143084780323	18 segments	10.9	18	7
69.225247	-2.17143084780323	19 segments	10.9	19	7
69.225247	-2.17143084780323	20 segments	10.9	20	7
